transaction_id,user_id,product_category,amount,date
T1001,1,Electronics,1200.50,2023-05-01
T1002,2,Home & Garden,85.00,2023-05-03
T1003,1,Books,45.20,2023/05/10
T1004,3,Electronics,950.00,2023-06-12
T1005,5,Fashion,120.00,2023-06-15
T1006,2,Home & Garden,,2023-06-20
T1007,4,Books,30.00,2023/07/01
T1008,3,Fashion,210.50,2023-07-05
T1009,1,Electronics,300.00,2023-08-10
T1010,5,Electronics,1500.00,2024-01-12
T1011,6,Books,12.99,2024-01-15
T1012,2,Fashion,55.00,2024-01-20
T1013,7,Home & Garden,340.00,2024/01/25
T1014,8,Electronics,890.00,2024-02-02
T1015,3,Books,22.50,2024-02-05
T1016,1,Fashion,15.00,2024-02-10
T1017,9,Home & Garden,110.20,2024-02-14
T1018,10,Electronics,2100.00,2024-02-20
T1019,4,Fashion,89.99,2024/02/28
T1020,5,Books,5.50,2024-03-01
T1021,2,Electronics,450.00,2024-03-05
T1022,6,Home & Garden,75.00,2024-03-10
T1023,7,Fashion,120.00,2024-03-12
T1024,1,Electronics,,2024-03-15
T1025,8,Books,105.00,2024-03-20
T1026,3,Home & Garden,25.40,2024/03/25
T1027,11,Fashion,310.00,2024-04-01
T1028,12,Electronics,50.00,2024-04-02
T1029,9,Books,18.00,2024-04-05
T1030,10,Home & Garden,420.00,2024-04-10
T1031,1,Fashion,215.00,2024-04-12
T1032,4,Electronics,130.00,2024-04-15
T1033,5,Books,33.00,2024/04/20
T1034,13,Home & Garden,600.00,2024-04-25
T1035,2,Fashion,45.00,2024-05-01
T1036,14,Electronics,2500.00,2024-05-03
T1037,6,Books,12.00,2024-05-05
T1038,7,Home & Garden,88.00,2024-05-10
T1039,8,Fashion,150.00,2024-05-12
T1040,15,Electronics,720.00,2024/05/15
T1041,3,Books,45.00,2024-05-18
T1042,1,Home & Garden,12.50,2024-05-20
T1043,9,Fashion,99.00,2024-05-22
T1044,10,Electronics,110.00,2024-05-25
T1045,11,Books,65.00,2024-05-28
T1046,12,Home & Garden,210.00,2024-06-01
T1047,4,Fashion,30.00,2024/06/03
T1048,5,Electronics,,2024-06-05
T1049,13,Books,19.90,2024-06-08
T1050,2,Home & Garden,145.00,2024-06-10
T1051,16,Fashion,45.90,2024-06-12
T1052,17,Electronics,120.00,2024-06-15
T1053,1,Books,15.00,2024/06/18
T1054,18,Home & Garden,310.50,2024-06-20
T1055,19,Fashion,89.00,2024-06-22
T1056,2,Electronics,,2024-06-25
T1057,20,Books,42.00,2024/06/28
T1058,3,Home & Garden,150.75,2024-07-01
T1059,16,Electronics,2100.00,2024-07-03
T1060,4,Fashion,35.00,2024-07-05
T1061,5,Books,12.50,2024/07/10
T1062,17,Home & Garden,85.00,2024-07-12
T1063,18,Electronics,990.00,2024-07-15
T1064,6,Fashion,120.00,2024-07-18
T1065,7,Books,22.00,2024-07-20
T1066,1,Home & Garden,,2024-07-25
T1067,19,Electronics,450.00,2024/07/28
T1068,2,Fashion,65.00,2024-08-01
T1069,20,Books,9.99,2024-08-03
T1070,3,Home & Garden,210.00,2024-08-05
T1071,8,Electronics,1300.00,2024/08/10
T1072,9,Fashion,45.00,2024-08-12
T1073,10,Books,31.50,2024-08-15
T1074,16,Home & Garden,55.00,2024-08-18
T1075,11,Electronics,88.00,2024-08-20
T1076,12,Fashion,210.00,2024/08/25
T1077,4,Books,14.00,2024-08-28
T1078,5,Home & Garden,400.00,2024-09-01
T1079,17,Electronics,,2024-09-03
T1080,13,Fashion,75.00,2024-09-05
T1081,1,Books,25.00,2024/09/10
T1082,14,Home & Garden,120.00,2024-09-12
T1083,18,Electronics,1600.00,2024-09-15
T1084,15,Fashion,30.00,2024-09-18
T1085,2,Books,45.00,2024-09-20
T1086,19,Home & Garden,95.00,2024/09/25
T1087,6,Electronics,240.00,2024-09-28
T1088,20,Fashion,115.00,2024-10-01
T1089,3,Books,18.50,2024-10-03
T1090,7,Home & Garden,60.00,2024-10-05
T1091,8,Electronics,1100.00,2024/10/10
T1092,9,Fashion,99.99,2024-10-12
T1093,10,Books,,2024-10-15
T1094,16,Home & Garden,330.00,2024-10-18
T1095,11,Electronics,150.00,2024-10-20
T1096,12,Fashion,42.00,2024/10/25
T1097,13,Books,5.00,2024-10-28
T1098,14,Home & Garden,190.00,2024-11-01
T1099,15,Electronics,850.00,2024-11-03
T1100,1,Fashion,125.00,2024-11-05
T1101,6,Electronics,890.00,2024-11-08
T1102,7,Home & Garden,45.00,2024-11-10
T1103,8,Books,12.50,2024/11/12
T1104,9,Fashion,320.00,2024-11-15
T1105,10,Electronics,1200.00,2024-11-18
T1106,11,Books,8.99,2024-11-20
T1107,12,Home & Garden,,2024-11-22
T1108,13,Fashion,55.00,2024/11/25
T1109,14,Electronics,210.00,2024-11-28
T1110,15,Books,45.00,2024-12-01
T1111,16,Home & Garden,130.00,2024-12-03
T1112,17,Fashion,89.50,2024/12/05
T1113,18,Electronics,1500.00,2024-12-08
T1114,19,Books,22.00,2024-12-10
T1115,20,Home & Garden,75.00,2024-12-12
T1116,6,Fashion,120.00,2024/12/15
T1117,7,Electronics,,2024-12-18
T1118,8,Books,35.00,2024-12-20
T1119,9,Home & Garden,210.00,2024-12-22
T1120,10,Fashion,45.00,2024/12/26
T1121,11,Electronics,990.00,2024-12-28
T1122,12,Books,15.50,2025-01-02
T1123,13,Home & Garden,60.00,2025-01-04
T1124,14,Fashion,25.00,2025/01/06
T1125,15,Electronics,450.00,2025-01-08
T1126,16,Books,,2025-01-10
T1127,17,Home & Garden,110.00,2025-01-12
T1128,18,Fashion,190.00,2025/01/15
T1129,19,Electronics,2300.00,2025-01-18
T1130,20,Books,12.00,2025-01-20
T1131,6,Home & Garden,85.00,2025-01-22
T1132,7,Fashion,65.00,2025/01/25
T1133,8,Electronics,120.00,2025-01-28
T1134,9,Books,29.90,2025-01-30
T1135,10,Home & Garden,400.00,2025-02-01
T1136,11,Fashion,55.00,2025/02/03
T1137,12,Electronics,,2025-02-05
T1138,13,Books,18.00,2025-02-07
T1139,14,Home & Garden,95.00,2025-02-10
T1140,15,Fashion,110.00,2025/02/12
T1141,16,Electronics,750.00,2025-02-14
T1142,17,Books,42.00,2025-02-16
T1143,18,Home & Garden,20.00,2025-02-18
T1144,19,Fashion,88.00,2025/02/20
T1145,20,Electronics,1300.00,2025-02-22
T1146,6,Books,15.00,2025-02-24
T1147,7,Home & Garden,310.00,2025-02-26
T1148,8,Fashion,,2025-02-28
T1149,9,Electronics,250.00,2025/03/02
T1150,10,Books,5.50,2025-03-04